,text,claim,emotion
34,"UPDATE : Marc at ABC NewsWatch usefully summarises the flood history of SE Queensland here . Guess what, there have been less severe floods and more severe floods and no floods at all and nothing has changed. Did anthropogenic CO2 cause the floods in 1893 perhaps? Hang on, lets get the script right : No direct link between global warming and the 1893 floods, but climate change would lead to heavier, more frequent rain. Unspoken conclusion: leading to more floods like the one we just happen by chance to be talking about right now Thats the sneaky thing about flood plains, they flood duh.",1_7,neutral
50,"Quoting the five Australian researchers, ""across all treatments there was a highly significant effect of sperm density, but no significant effect of temperature or interaction between factors."" In fact, they state that ""low pH did not reduce the percentage of fertilization even at the lowest sperm densities used, and increased temperature did not enhance fertilization at any sperm density."" In addition, they remark that ""a number of ecotoxicology and climate change studies, where pH was manipulated with CO 2 gas, show that sea urchin fertilization is robust to a broad pH range with impairment only at extreme levels well below projections for ocean acidification by 2100 (pH 7.1-7.4, 2,000-10,000 ppm CO 2 ),"" citing the work of Bay et al . (1993), Carr et al . (2006), and Kurihara and Shirayama (2004). What it means",3_2,neutral
51,The facts don't lie and the empirical evidence is overwhelming - tiny global warming over last 15 years causes James Lovelock to admit he was wrong - extreme climate change not in the cards,1_4,realization
53,"This media reporting has become typical of the bias that many journalists have. Not reported in the media (but wellreportedon ICECAP by Joe DAleo) themedia has ignored in their reportingthe increase in Antarctic sea ice cover in recent years, with, at present, a coverage that is well over 1 million square kilometers above average (see )!",5_2,neutral
54,"In short, according to Bellenger, et al. (2013), the current generation of climate models (CMIP5: used by the IPCC for their 5 th Assessment Report and by Power et al (2013)) still cannot simulate basic coupled ocean-atmosphere processes associated with El Nio and La Nia eventsbasic processes.",5_1,neutral
57,"Answer: Nearly all the claims of evidence amount to ???effects?? of global warming, and not the cause. (See the missing hot spot.)",2_3,neutral
58,"Fracking could bring new jobs and revenues to depressed areas of Maryland, New York, Ohio and other states. Expanded access to our newfound century's worth of hydrocarbon energy will keep prices low and reverse the flow of manufacturing jobs out of our country providing jobs for millions of American graduates and unemployed workers, and creating a new prosperity for current and future generations.",4_5,approval
66,"In reality sea level changes can be measured accurately only to centimetres, and often only to within several centimetres and very often not even that. Munk (3) confirms this writing that:",5_1,neutral
68,"Their work, published in a recent issue of the journal Energy and Environment, suggests that there really was a ""Little Ice Age"" from 1300 to 1900 when unusually cold global temperatures froze rivers that today remain ice-free year-round. They also found evidence for a medieval warm period from 800 to 1300 when, historical records show, fig trees grew as",2_1,realization
70,"Despite having a Democrat-controlled Congress in his first two years, President Obama failed to push through cap-and-trade legislation that would have adopted a goal of reducing carbon dioxide and other greenhouse gas emissions to 83 percent below 2005 levels by the year 2050. The reason for this failure was clear: The proposed law would greatly harm the U.S. economy and undermine job growth. Indeed, The Heritage Foundation's Center for Data Analysis estimated that the cap-and-trade bill proposed by Senators Barbara Boxer (DCA) and newly nominated Secretary of State John Kerry (DMA) would have resulted in income losses of nearly $10 trillion and over 2.5 million lost jobs.",4_1,realization
73,"The only way to defeat this position in the eyes of people who regard it as a U.S. duty to set a good example to the world is to demonstrate the futility of trying to control Earth?s climate. Accusations that the president wants to ruin the economy, destroy jobs or risk the nation?s energy security have little traction, since most opinion leaders do not believe these charges. Most of those who recognize the enormous costs of the EPA?s plans regard these sacrifices as necessary in order to be responsible environmental stewards.",4_2,disapproval
82,"I do not agree that this was merely a ???slight mis-statement in a single sentence?? as the same argument had been made in their March 1 submission to Muir Russell, a submission which did not include accompanying ???copious?? information evidencing the error to the Muir Russell panel as a ???slight mis-statement??. It also speaks poorly that CRU would make a ???mis-statement?? to Muir Russell on an issue so central to Climategate.",5_2,disapproval
85,"For one thing, wind turbines and solar panels, which only produce energy if massively subsidized by the state, drive up electricity prices, which kills off manufacturing jobs.",4_4,neutral
89,"But in a carbon market, most market participants actually benefit from fraud . The sellers of carbon credits benefit when they sell fraudulent credits, because they are making money for nothing. The buyers of carbon credits benefit from a market flooded with fraudulent carbon credits, because the oversupply caused by fraudulent credits helps to keep prices down. Corrupt officials benefit financially, when they receive bribes to ignore the fraud. The only people who are disadvantaged by carbon fraud, are investors who tried to follow the rules, to produce ???genuine?? carbon credits, and politicians and activists who naively expected the carbon market to deliver emissions reductions.",4_2,neutral
90,"The data include long time period duration (in excess of 30 years) tide gauge station records covering the Hawaiian Islands, Alaska and the Pacific, Gulf Coast and Atlantic coastline regions of the U.S. as well as many other global wide coastal locations. This latest NOAA data shows unchanging linear trends in the rate of sea level rise worldwide with many of these records including 100 year and longer measurement duration periods.",1_6,neutral
91,The Sun's Impact On Earth's Temperature Goes Far Beyond TSI New Paper Shows,2_1,neutral
95,"Murray also has the number of environmentalists who demand higher automobile fuel efficiency mandates. These government standards have meant smaller, lighter, less crashworthy vehicles. ""The tradeoff the liberal environmentalists demand is actually safety for gas mileage. In other words, blood for oil.""",4_1,neutral
96,Only this week Lord Lawson's Global Warming Policy Foundation claimed that the Met Office's computer model for predicting climate change was flawed.,5_1,neutral
99,"The same is true for natural gas. In 1944, the United states had 147 trillion cubic feet of natural gas reserves, and yet had produced 1,041 trillion cubic feet between 1945 and 20107 times the amount of reserves available in 1944. In this case, however, the U.S. oil and gas industry was able to double the 1944 natural gas reserve level with 318 trillion cubic feet in reserves in 2010.",4_5,neutral
100,"In 1999, NASA showed that the four hottest years in US history were 1934, 1921, 1931 and 1953, and that the US was much hotter in the 1930s.",2_1,realization
101,"Astrophysicist, Joe Postma - in his momentous paper The Absence of a Measurable Greenhouse Effect - goes on to prove that by treating Earth as a sphere so that night and day exist we can suddenly explain with standard physics how daytime gives us the +30 degrees C worth of added GHE temperature; on average over half of the Earth (reaching a theoretical maximum of up to +121 degrees C under the solar-noon if it was not for the cooling power of the atmosphere).",2_3,neutral
112,"By hyper-regulating carbon dioxide, soot, mercury, ""cross-state air pollution"" from sources hundreds of miles away, and other air and water emissions, EPA intends to force numerous coal-fired power plants to shut down years before their productive life is over; sharply reduce emissions from cars, factories, refineries and other facilities, regardless of the costs; and block the construction of new coal-fired power plants, because none will be able to slash their carbon dioxide emissions to half of what average coal-fired plants now emit, without employing expensive (and nonexistent) CO2 capture and storage technologies.",4_1,neutral
114,"A visit to IceAgeNow.info yielded headlines of news stories last week that included ""Record ColdMillions of Americans hit by Propane Shortage""; ""Ice and Snow Closed Texas highways This Morning""; ""Ice-cover Shuts Down Work on New Hudson River Bridge"" and so you understand this is a global phenomenon ""KashmirHeaviest January Snowfall in a Decade"";""Heavy Snowfall Sweeps Eastern Turkey""; ""RomaniaHeavy Snowfall and Blizzard""; and ""Bangkok Suffers Coldest Night in Three DecadesDeath Roll Mounts.""",1_3,neutral
115,"Clearly, erosion is a problem here, yet the authors of the paper fail to give it any credence. Of course the fossil record will show sea level rise!",1_6,realization
118,"5) Vicious personal attacks continue on scientists, businessmen, politicians and others who disagree publicly with the catechism of climate cataclysm. Alarmist pressure groups and Democrat members of Congress are out to destroy the studies, funding, reputations and careers of all who dare challenge climate disaster tautologies. At President Obama's behest, even disaster aid agencies are piling on.",5_2,fear
122,"It will be impossible to meet the consumer demands of a contemporary society without a reliable source of energy like nuclear. Other countries have already acknowledged this. There are 65 reactors under construction around the world (far safer and more advanced than the 30-year-old technology at Fukushima Daiichi), but none in the U.S.",4_5,disapproval
123,"The scientists noted that the largest recent period of Antarctic warming occurred during the 1990s as the result of a particularly lengthy and strong set of El Nio conditions in the equatorial Pacific Ocean. Many other decades, including pre-industrial times such as the 1830s, also showed marked temperature spikes, according to the latest report.",2_1,neutral
125,"As the CO 2 content of the air continues to rise, tropical rainforests will likely increase their photosynthetic capacity. This phenomenon may apply a significant ""biological brake"" on the rising CO 2 content of the atmosphere, as tropical rainforests are among the most productive ecosystems on earth, and a large stimulation of their photosynthetic capacity should result in the removal of tremendous amounts of carbon from the atmosphere. Reviewed 15 October 1998",3_3,neutral
127,"Carter's ultimate policy recommendation was that climate hazards are overwhelmingly natural problems, and should be dealt with by preparing for them in advance, and adapting to them when they occur.",2_1,approval
130,"As the CO 2 content of the air rises, it is likely that mango biodiversity will be maintained, as there were no obvious differences in the responses of these two ecotypes to atmospheric CO 2 enrichment. In addition, these cultivars will likely increase their overall size, biomass, and yield as more and more CO 2 enters the air from mankind's activities. Although the instantaneous doubling of the atmospheric CO 2 content in this experiment reduced concentrations of leaf mineral elements, the authors stated that ""given the slow rate at which global atmospheric CO 2 concentration is increasing, it is possible that plants will adapt to elevated ambient CO 2 concentrations over time with respect to mineral nutrition,"" as did sour orange trees after 85 months of exposure to elevated CO 2 (Penuelas et al ., 1997). Reference",3_3,neutral
132,"Thus, the drop in annual GDP growth that was so insignificant in Krugman??s mind, when it came to measuring the economic costs of aggressive carbon legislation, is just shy of the drop in annualized GDP growth matching up with the environmental benefits of such legislation, in the worst case scenario. But when we realize that Krugman??s estimate of 2% GDP loss by 2050 is much lower than what the IPCC itself says (as I document in the earlier posts linked above), the answer is a no brainer: The benefits of fighting climate change do not exceed the costs, even using the IPCC??s own models.",4_1,realization
134,There is no getting around it. The models are wrong. The energy balance is so central that none of their other predictions can be relied on.,5_1,disapproval
137,Is the Earth warming? Data does suggest the Earth is warming as we come out of the Little Ice Age.,2_1,curiosity
139,A new briefing paper published today by the Global Warming Policy Foundation concludes that the most recent (September 2014) floods in the Kashmir region of India-Pakistan border which killed several dozen of people are a recurring feature of the Indian Monsoon and not linked to climate change.,1_7,neutral
140,"Those reefs have actually been able to take advantage of the warmer conditions, said Janice Lough, a senior AIMS research scientist and one of the studys authors.",3_2,neutral
142,"Since the change point in 2007, September 21 Arctic ice (15% concentration) extent has been expanding at a linear rate of 247,875 km / year. Using the standard climate science metric, that is a gain of 4,201 Manhattans per year.",1_1,neutral
143,"As adopted, Agenda 21 was described as a comprehensive plan of action to be taken globally, nationally and locally by organizations of the United Nations System, Governments, and Major Groups in every area in which human impacts on the environment. That includes hundreds of specific goals and strategies that national and local governments are encouraged to adopt. And that translates into restrictive zoning policies that are aimed at deterring suburban growth. Ultimately, they suppress housing supply and drive up home prices, in turn imposing unnecessary costs, especially on middle- and lower-income households. These policies contributed to and aggravate the real estate bubble by putting inflationary pressures on housing prices.",4_1,neutral
145,"""Even if every American citizen biked to work, carpooled to school, used only solar panels to power their homes, if we each planted a dozen trees, if we somehow eliminated all of our domestic greenhouse gas emissions, guess what? That still wouldn't be enough to offset the carbon pollution coming from the rest of the world. If all the industrial nations went down to zero emissions it wouldn't be enough, not when more than 65 percent of the world's carbon pollution comes from the developing world.""",4_2,neutral
148,"Some days we are told that CO2 is making the weather cold. Other days we are told that CO2 is making the weather warm. Without some actual evidence that the Earth is heating by a dangerous amount, James Whites statement is pointless.",5_1,realization
152,"Amici believe that no scientists have devised an empirically validated theory proving that higher atmospheric CO2 levels will lead to higher GAST. Moreover, if the causal link between higher atmospheric CO2 concentrations and higher GAST is broken by invalidating each of EPAs three lines of evidence, then EPAs assertions that higher CO2 concentrations also cause sea-level increases and more frequent and severe storms, floods, and droughts are also disproved. Such causality assertions require a validated theory that higher atmospheric CO2 concentrations cause increases in GAST. Lacking such a validated theory, EPAs conclusions cannot stand. In science, credible empirical data always trumps proposed theories, even if those theories are claimed to (or actually do) represent the current consensus.",2_3,neutral
153,"What are the models missing? Obsessed with radiation from greenhouse forcings and questionable temperature feedbacks, they ignore or poorly parameterize many important climate processes and undervalue the net cooling effect of the following events:",5_1,curiosity
157,"No matter what happens to the climate between now and the publication of the IPCCs 5th Assessment Report, we can be sure that the alarmism will be ratcheted up to ever more preposterous heights to keep the research funds flooding in. Everything will be bigger, faster, badder, worse than we thought, quicker than we thought etc, etc. The IPCC, and thousands of climate scientists, are too dependent on the global warming scare to let it go without a fight. And its started already. The IPCCs AR4 predictions for sea level rise were exaggerated enough, but AR5 will be worse:",5_2,realization
159,Winter? Teesdale in County Durham blanketed in snow on May 23 in what is likely to be Britains coldest spring since 1962,1_3,neutral
161,"The investigation into the alleged global warming data fraud by Virginias Attorney General may soon have a whole new angle. This comes from a previously overlooked connection between discredited tree-ring proxy researcher, Michael Mann and Yales now deceased climate professor, Barry Saltzman.",5_2,neutral
166,"This year, the recent 12 Month period temperature is -4.3 F cooler than for example 1932 . And if we compare with 1955 it is ??? 3.7 F cooler.",1_3,neutral
177,"The very real positive externality of inadvertent atmospheric CO2 enrichment must be considered in all studies examining the SCC; and its observationally-deduced effects must be given premier weighting over the speculative negative externalities presumed to occur in computer model projections of global warming. Until that time, little if any weight should be placed on current SCC calculations.",3_3,neutral
180,Read here . The global warming alarmists claim that an area such as the Amazon should experience greater frequency of severe droughts and floods. Does any evidence support these claims? A researcher examined the climate history of the Amazon and found no trend of severe events that would support the global warming alarmist predictions.,1_7,curiosity
181,"Meanwhile, Germany, Italy and Japan plan to phase out nuclear power, thereby increasing their use of natural gas and coal for electricity while China and India build 900 new coal-fired power plants to electrify their growing economies. All will pump tons of carbon dioxide into the atmosphere dwarfing any reductions the USA might achieve by closing more power plants and further shackling our economy.",4_2,neutral
186,"It is impossible to present reliable future projections from a collection of climate models which generally cannot simulate observed change. As a consequence, we recommend that unless/until the collection of climate models can be demonstrated to accurately capture observed characteristics of known climate changes, policymakers should avoid basing any decisions upon projections made from them. Further, those policies which have already be established using projections from these climate models should be revisited. Assessments which suffer from the inclusion of unreliable climate model projections include those produced by the IPCC and the U.S. Global Climate Change Research Program (including their most recent National Climate Assessment). Policies which are based upon such assessments include those established by the U.S. Environmental Protection Agency pertaining to the regulation of greenhouse gas emissions under the Clean Air Act.",5_1,neutral
188,"About which Hansen correctly noted: The U.S. has warmed during the past century, but the warming hardly exceeds year-to-year variability. Indeed, in the U.S. the warmest decade was the 1930s and the warmest year was 1934.",2_1,realization
190,"Temperatures in Antarctica have hit a balmy -109F over the last two days, which can mean only one thing tropical vacation",1_3,approval
193,"Why would anyone possibly imagine that the CO 2 which will be pumped into reservoirs to access that oil will remain there for very long? Will all those many, many thousands of depleted oil reservoirs where the gas will need to be sequestered in order to offer any real CCS advantage be suitable for permanent storage? Who will be responsible for constantly monitoring them all for leakage? Even if decades passed before leaking out, would pumping all that money down a hole have accomplished anything, even if that CO 2 capture and sequestration mattered one whit?",4_4,curiosity
194,"Noting that their results ""provide a valid mechanism for the conclusion of Berry and Roderick (2002) that evergreen vegetation has increased across Australia over the past 200 years as a result of CO2 enrichment,"" they conclude that "" woody thickening in Australia and probably globally can be explained by the changes in landscape GPP and soil moisture balance arising principally from the increased atmospheric CO2 concentration .""",3_3,neutral
196,"The paper adds to several others invalidating the vast prior literature on the effects of ""acidification"" as overblown due to biased, artificial laboratory conditions that don't correctly simulate the buffering effects of a natural environment.",3_2,neutral
199,"Altogether, technology widened the horizons of world oil, bringing on large amounts of new supplies that supported economic growth and expanded mobility around the world. Billions of barrels of oil that could not have been accessed or produced a decade earlier were now within reach. All that proved to be ???just in time?? technological progress. For the world appeared to be on a fast track in terms of economic growth???and, thus, in its need for more oil.",4_5,realization
203,"The unvalidated IPCC (and CSIRO) computer climate models that project significant human-caused warming in the future are faulty, with many known inadequacies; not surprisingly, therefore, these models have proved to be incorrect when compared with real-world temperature data;",5_1,realization
212,"Perhaps worse is the ACIAs proposed prescription of fixing all the ills of the purported Arctic climate trend by taking steps toward the reduction of anthropogenic greenhouse gases. In the end, that premise is obviously more of a political posture than a legitimate scientific conclusion.",5_2,realization
213,"Last winter had the largest sea ice extent in the last six years, the largest North American snow extent on record, and the second largest northern hemisphere snow extent on record. On one day in February, at least 49 US states had snow cover. Northern hemisphere albedo was very high last winter.",1_1,neutral
215,"Look for the satellite data to be adjusted to bring it into compliance with the fully fraudulent surface temperatures. The Guardian is now workingtodiscredit UAH, so it seems likely that RSS will soon be making big changes to match the needs of the climate mafia. Bookmark this post.",5_2,neutral
216,"Something else also stands out in the 3 regions where current temperatures are warmest, my Figure 2. Only one of the reconstructions extends back the full 2000 years. Would Asia and Australasia have warmer temperatures than those weve experienced recently if their reconstructions could be extended farther back in time? Dunno.",5_1,curiosity
219,"Examples abound. Federal fuel economy mandates force auto makers to produce smaller, lighter, less crash-resistant cars, causing thousands of highway deaths per year.1 FDA regulations delay the availability of life-saving therapies, killing tens of thousands over the past two decades.2 Banning DDT revived malaria epidemics in the developing world, afflicting 2.5 million people in Sri Lanka alone.3 Furthermore, a large body of literature documents that regulation can kill just by misdirecting resources and squandering wealth. Precautionists ignore the obvious connection between livelihoods, living standards, and lives as if jobs and income were not the chief safety nets for most of the world s people. Even in a relatively wealthy country like the United States, every $5 million to $10 million drop in economic output is associated with an additional statistical death.4",4_1,fear
221,"Maybe the Blowout Prevention Act is simply a product of sloppy drafting. But maybe not.As written, the bill wouldrevive and expandthefederalban on offshore drilling.Indeed, it wouldcripple U.S. domestic petroleum production.Do the sponsors not know that banning offshore drilling wouldincreaseconsumers?? pain at the pump, destroy high-paying American jobs, and make the United States more dependent onOPEC oil? Or do they just not care?",4_1,curiosity
225,"The observed response equates to an approximate 480% increase in calcification rate in response to a 9C increase in water temperature or to a 160% increase in calcification rate in response to a 3C increase in temperature, the latter of which temperature increases is somewhere in the low to midrange of global warming that climate alarmists claim will result from a 300 ppm increase in the air's CO 2 concentration.?? As noted in our Editorial of 26 Jan 2005 , this positive effect of rising temperature far outweighs the negative effect of rising CO 2 concentrations on calcification in corals. Reviewed 9 February 2005",3_2,neutral
227,"The Great Barrier Reef is being damaged by global warming in fact, there is no trend in the sea surface temperature of the reef over the last 40 years.",1_4,neutral
229,"EPA's rule will force poor and minority families to choose between buying food, putting gas in the car, going to the doctor, buying medicines, giving to their church, saving for retirement, or making mortgage, rent and car payments. Small businesses will have to find thousands more just to keep the heat, lights and air conditioning on, without laying people off or closing their doors. Factories, malls, school districts, hospitals and cities will have to pay millions more for energy.",4_1,neutral
230,"Read here and here . The impressive success of the harmonic astronomical climate model (left chart) is in the realm of spectacular when compared to the robust, abysmal performance of the IPCC's (middle chart) and NASA's (right chart) traditional CO2-based climate models. The failure of the CO2-centric models is due in large part to their inability to reproduce the known decadal and multi-decadal oscillations that are part and parcel to the world's climate.",5_1,admiration
236,"Since the rate of warming from 1976-2001, to which we could in theory have contributed, is statistically indistinguishable in the rates from 1860-1880 and from 1910-1940, to which we could not, Roy Spencer was right to say we cannot easily disentangle the anthropogenic from the natural contributions to warming. Spencer 5, Nuccitelli 0.",2_1,approval
238,"(i) Over the last 16 years, global average temperature, as measured by both thermometers and satellite sensors, has displayed no statistically significant warming; over the same period, atmospheric carbon dioxide has increased by 10%.",1_4,neutral
240,"An economist should look at the costs and benefits. In terms of Climate Change there are two sets of costs. First, those of climate change impacts and second, the costs of the policy to contain the global warming. The Stern Review put argument that the mitigation policy costs were 5 to 20 times less than letting climate change progress unchecked. Therefore there is a clear-cut case for global mitigation policy. But crucially Stern does not look at the consequences of ineffective and over-expensive policy. The Booker article For every new green job, nearly four are lost looks at one aspect of these real policy costs. An economist would also claim that the Greens fail to look at the opportunity costs, claim that the new jobs are a benefit.",4_1,neutral
246,"The Pine Lake sediment record convincingly demonstrates the reality of the non-CO 2 -induced millennial-scale climatic oscillation that alternately brings several-century periods of dryness and wetness to the southern Alberta region of North America during concomitant periods of relative hemispheric warmth and coolness, respectively. It also demonstrates there is nothing unusual about the region's current moisture status, which suggests that the planet may still have a bit of warming to do before the Modern Warm Period is fully upon us.",2_1,neutral
247,"This PR from McGill University claims that the ???deep ocean heat has been unable to get out and melt back the wintertime Antarctic ice??. That might be true, but still, there are polynyas present in the location of interest (Weddell Sea) that they don??t mention. In fact, there??s even a large offshore polynya in progress in the Weddell Sea right now according to NSIDC imagery, and the Weddell sea has a lot more ice where it is not supposed to be according to ???normals??. See below ??? Anthony",1_1,neutral
253,"Anecdotally, from my weather station here on the Upper North Shore in Sydney, this has been the Year without a Summer. Mean temperatures for December, January and February were 18.6C, 21.5C and 21.6C, significantly lower than 2010/11 (21.7, 23.9, 24.1) and 2009/10 (22.9, 23.9, 23.4).",1_3,neutral
257,"Simultaneous warming on Earth and Mars suggests that our planet's recent climate changes have a naturaland not a human-inducedcause, according to one scientist's controversial theory.",2_1,disapproval
259,"Jones even blocked the opinion of the ABC??s own highly-respected conservative voice, Michael Duffy. Duffy could not get a word in, having made it clear that he would not tow the ABC pro-climate change line. Early on in the panel discussion, Duffy had queried why there was such organised criticism and deconstruction of Durkin??s documentary, and no such treatment of Al Gore??s Inconvenient Truth.",5_2,neutral
262,"Land-based thermometers are frequently compromised by the urban heat island effect. The microclimate around a land-based thermometer can change due to urban encroachment, such as nearby asphalt, concrete, buildings, air conditioners, cars, electrical appliances, or changes in vegetation. The annual mean air temperature of a city with 1 million people can be 13C warmer than its surroundings . In the evening, the difference can be as high as 12C.",5_1,neutral
263,"This isn't the first time that NOAA has used dubious data to justify global warming alarmism. In early June, NOAA rewrote the historical climate record by making it ""cooler"" so the present appears warmer. Even climate scientists who believe that man is primarily responsible for the planet warming less than one degree Celsius over the last 100 years rejected NOAA's readjustments to hide the 18-year-and-counting global warming hiatus.",5_2,neutral
272,"However, glaciologists find such figures inherently ludicrous, pointing out that most Himalayan glaciers are hundreds of feet thick and could not melt fast enough to vanish by 2035 unless there was a huge global temperature rise. The maximum rate of decline in thickness seen in glaciers at the moment is 2-3 feet a year and most are far lower.",1_1,amusement
275,The fact is also: The projections from scientists have failed to forecast the stop in the temperature rise.,5_1,neutral
279,"This is good news for two reasons. First, warmer temperatures increase phytoplankton bioactivity (protein synthesis) all over the globe. Mark 1 Eyeball observations of FLL seasonal reef visibility are true everywhere. It is in the phytoplankton genes. That means more oxygen, more marine food chain food, and more carbon sequestration if waters warm. Second, temperature up-regulated gene expression shifts phytoplankton metabolic pathways away from phosphorus and toward nitrogen. This is a marvelous example of evolutionary adaptation. Phosphorus is a growth-limiting factor in most ocean regions, provided primarily by upwelling deep water. A shift toward N-limitation with more bioactivity avoids the phosphorus growth constraint. Oceans have their own nitrogen fixation mechanisms (e.g. cyanobacteria like Trichodesmium ) that would also get more productive. Less phosphorus consumed by phytoplankton means more is available to N-fixing cyanobacteria. ,",3_2,approval
282,"The authors write that ""the ability of coupled climate models to simulate the characteristics of the monsoon in present day climate is an important condition for the use of such models to make future climate projections."" But they say that in the study of Smith et al . (2012), ""the relationship between seasonal winds and rainfall was not always well represented,"" while adding that ""the observed negative correlation between Indian rainfall and El Nio-Southern Oscillation (ENSO) events was ... too weak in CMIP5 models,"" citing Sperber et al . (2013). What was done",5_1,neutral
283,"3. The global cooling predictions that I made in 2000, based on recurring patterns of PDO and global climate, have so far proven to be correct.",1_2,approval
286,"Yesterday, after a four-month review, a committee of scientists concluded that the Nobel prize-winning Intergovernmental Panel on Climate Change (IPCC) has ""assigned high confidence to statements for which there is very little evidence"", has failed to enforce its own guidelines, has been guilty of too little transparency, has ignored critical review comments and has had no policies on conflict of interest"".",5_2,neutral
287,"The civil war over cap and trade is how the political process works; its results are always crooked and counterproductive. In the debate over manmade climate change, the interventionists typically contrast a flawed, real-world market economy with a textbook vision of a benevolent and all-wise global dictator setting emission caps.",4_1,realization
297,"But he, Osama, has also added some improvements. He claims to have found an Al Gore Rhythm to destroy the U.S. economy even more quickly than the conventional cap-and-trade bills were planning to do. A forced demise of the U.S. dollar is a part of his project to decarbonize the world's economy.",4_1,neutral
300,"Normally, I might not deal with a four year old paper by James Hansen, the NASA doyenne of serial doomcasters. However, I note that this paper has been cited ten times this year alone, so I thought I might comment.",5_2,neutral
303,"In the words of the authors, ""there has been no significant warming or cooling during the entire period 1876-1993 for the annual data and the seasonal temperature data."" What it means",1_4,neutral
304,"The reason why NASA/NCDC surface data doesnt match satellite data, is because their surface data is fraudulent",5_1,neutral
307,"officials and public planning experts"" scheduled to meet with Rosenberg will manage to find private transportation and hold their global warming forum today, or whether the record snow and bitter cold will force it to be rescheduled.",1_3,neutral
308,"There is not yet reason to assume, say the scientists, that the mercury in the world??s thermometers will now rise any higher than it would have risen during two or three other unusually warm periods since the beginning of our calendar. These were not years which scorched the globe as fatally as the ice ages had frozen it. But they were years of mild winters and hard summers. In some parts of Central Europe, Africa and the Americas they brought drought.",2_1,curiosity
309,"She has seen in the North American trees the feathery but unmistakable signatures of the Medieval Warm Period , a era from 1100 to 1375 A.D. when, according to European writers of the time and other sources, the climate was so balmy that wine grapes flourished in Britain and the Vikings farmed the now-frozen expanse of Greenland; and the Little Ice Age , a stretch of abnormally frigid weather lasting roughly from 1450 to 1850.",2_1,neutral
313,I said I dont want you to put polar bears on the Endangered Species list.,3_2,disapproval
322,"The warming of the 20 th century was not unprecedented. On the evidence of the warming of 1694 to 1733 in central England, it was well within natural variability.",2_1,realization
325,"""As I have said, over and over again, the fundamental point has always been this: Climate change is governed by hundreds of factors, or variables, and the very idea that we can manage climate change predictably by understanding and manipulating at the margins one politically-selected factor (CO2), is as misguided as it gets,"" Stott wrote.",2_3,realization
329,I want to know when global warming will start. Im still freezing my ass off at the end of April.,1_3,curiosity
331,"2. Arctic sea ice has been established in peer-reviewed papers to fluctuate dramatically, and was far lower than today 7,000 years ago during the Holocene Climatic Optimum. The papers authors showed that wave patterns on the shores of northern Greenland were one proof of several for the open ocean during the period.",2_1,neutral
